Date,Forecasted Tickets,Agents Needed
2024-06-01,6959.041269841269,174
2024-06-02,6959.041269841269,174
2024-06-03,6959.041269841269,174
2024-06-04,6959.041269841269,174
2024-06-05,6959.041269841269,174
2024-06-06,6959.041269841269,174
2024-06-07,6959.041269841269,174
2024-06-08,6959.041269841269,174
2024-06-09,6959.041269841269,174
2024-06-10,6959.041269841269,174
2024-06-11,6959.041269841269,174
2024-06-12,6959.041269841269,174
2024-06-13,6959.041269841269,174
2024-06-14,6959.041269841269,174
